uid,flight_year,flight_month,carrier,carrier_name,locationID,airport_name,arr_flights,arr_del15,carrier_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,weather_delay,nas_delay,security_delay,late_aircraft_delay
4135,2014,7,MQ,Envoy Air,GRK,"Killeen, TX: Robert Gray AAF",268,49,19.67,0.56,17.58,13,1,284,273,24,805
4136,2014,7,MQ,Envoy Air,TOL,"Toledo, OH: Toledo Express",87,18,6.25,0,7.24,2,0,0,100,0,228
4137,2014,7,MQ,Envoy Air,TUL,"Tulsa, OK: Tulsa International",153,34,13.9,0,5.72,3,0,55,533,0,340
4138,2014,7,MQ,Envoy Air,LAX,"Los Angeles, CA: Los Angeles International",553,126,32.42,0,59.48,25,0,446,948,0,3018
4139,2014,7,MQ,Envoy Air,MHK,"Manhattan/Ft. Riley, KS: Manhattan Regional",152,39,17.34,0.09,11.72,3,0,5,297,2,492
4140,2014,7,MQ,Envoy Air,RST,"Rochester, MN: Rochester International",120,27,9.93,0,8.71,0,0,0,246,0,342
4141,2014,7,MQ,Envoy Air,ABI,"Abilene, TX: Abilene Regional",238,42,17.34,0.99,12.87,7,1,276,492,102,595
4142,2014,7,MQ,Envoy Air,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",177,35,15.99,0.63,7.18,6,0,159,333,19,459
4143,2014,7,MQ,Envoy Air,DAY,"Dayton, OH: James M Cox/Dayton International",203,38,7.76,0,13.72,10,1,54,697,0,1001
4144,2014,7,MQ,Envoy Air,GJT,"Grand Junction, CO: Grand Junction Regional",91,25,8.15,0,9.07,1,0,16,258,0,507
4145,2014,7,MQ,Envoy Air,SDF,"Louisville, KY: Louisville Muhammad Ali International",176,55,12.28,0,10.78,13,0,482,1413,0,724
4146,2014,7,MQ,Envoy Air,GRR,"Grand Rapids, MI: Gerald R. Ford International",330,69,23.89,0,22.75,7,0,154,783,0,1193
4147,2014,7,MQ,Envoy Air,CMI,"Champaign/Urbana, IL: University of Illinois/Willard",211,36,20.09,0,12.05,3,0,43,83,0,591
4148,2014,7,MQ,Envoy Air,TYS,"Knoxville, TN: McGhee Tyson",203,54,17.81,0,12.23,6,0,275,929,0,476
4149,2014,7,MQ,Envoy Air,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",147,16,7.88,0,5.65,2,0,0,78,0,233
4150,2014,7,MQ,Envoy Air,LCH,"Lake Charles, LA: Lake Charles Regional",32,13,2.06,0.2,6.58,0,0,316,37,6,191
4151,2014,7,MQ,Envoy Air,AMA,"Amarillo, TX: Rick Husband Amarillo International",178,44,19.26,0,11.87,7,0,317,302,0,739
4152,2014,7,MQ,Envoy Air,BNA,"Nashville, TN: Nashville International",448,136,43.01,0.06,29.99,24,0,165,2486,3,1602
4153,2014,7,MQ,Envoy Air,GRB,"Green Bay, WI: Green Bay Austin Straubel International",118,23,11.8,0,4.96,0,0,0,185,0,321
4154,2014,7,MQ,Envoy Air,OKC,"Oklahoma City, OK: Will Rogers World",240,73,28.24,0,16.35,3,1,126,765,0,672
4155,2014,7,MQ,Envoy Air,SAV,"Savannah, GA: Savannah/Hilton Head International",92,18,3.89,0,5.56,2,0,24,224,0,340
4156,2014,7,MQ,Envoy Air,BDL,"Hartford, CT: Bradley International",26,8,2.94,0,1.71,0,0,0,80,0,71
4157,2014,7,MQ,Envoy Air,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",88,23,5.12,0,6.76,5,0,0,639,0,295
4158,2014,7,MQ,Envoy Air,ROC,"Rochester, NY: Greater Rochester International",122,24,7.98,0,4.07,1,0,0,313,0,169
4159,2014,7,MQ,Envoy Air,DSM,"Des Moines, IA: Des Moines International",205,33,10.21,0,5.21,6,0,0,519,0,287
4160,2014,7,MQ,Envoy Air,RAP,"Rapid City, SD: Rapid City Regional",62,16,6.16,0,2.76,1,0,42,189,0,127
4161,2014,7,MQ,Envoy Air,RIC,"Richmond, VA: Richmond International",297,68,23.51,0,16.56,16,0,113,1129,0,853
4162,2014,7,MQ,Envoy Air,PNS,"Pensacola, FL: Pensacola International",185,45,11.42,0,10.23,4,0,54,725,0,427
4163,2014,7,MQ,Envoy Air,SAF,"Santa Fe, NM: Santa Fe Municipal",121,19,9.31,0,5.96,6,1,131,132,0,236
4164,2014,7,MQ,Envoy Air,ORF,"Norfolk, VA: Norfolk International",180,41,7.52,0,14.45,13,0,69,1067,0,613
4165,2014,7,MQ,Envoy Air,ALO,"Waterloo, IA: Waterloo Regional",57,9,4.18,0,1.33,0,0,0,99,0,43
4166,2014,7,MQ,Envoy Air,DCA,"Washington, DC: Ronald Reagan Washington National",300,51,10.28,0,18.38,27,0,0,1174,0,932
4167,2014,7,MQ,Envoy Air,CHS,"Charleston, SC: Charleston AFB/International",123,31,5.03,0,7.94,2,1,69,554,0,520
4168,2014,7,MQ,Envoy Air,ELP,"El Paso, TX: El Paso International",123,29,11.34,0,9.2,5,0,5,206,0,446
4169,2014,7,MQ,Envoy Air,GCK,"Garden City, KS: Garden City Regional",31,8,4.65,0,1.72,0,0,43,42,0,80
4170,2014,7,MQ,Envoy Air,GSO,"Greensboro/High Point, NC: Piedmont Triad International",205,38,12.04,0,12.36,11,0,113,462,0,660
4171,2014,7,MQ,Envoy Air,JLN,"Joplin, MO: Joplin Regional",62,14,7.63,0,2.58,2,0,74,44,0,151
4172,2014,7,MQ,Envoy Air,ABQ,"Albuquerque, NM: Albuquerque International Sunport",92,20,9.24,0,6.18,3,0,0,244,0,397
4173,2014,7,MQ,Envoy Air,ASE,"Aspen, CO: Aspen Pitkin County Sardy Field",62,23,12.35,0,3.83,3,4,42,282,0,176
4174,2014,7,MQ,Envoy Air,MDT,"Harrisburg, PA: Harrisburg International",26,13,5.65,0,4.51,1,0,0,128,0,161
4175,2014,7,MQ,Envoy Air,GRI,"Grand Island, NE: Central Nebraska Regional",58,11,1.24,0,5.65,1,0,78,83,0,338
4176,2014,7,MQ,Envoy Air,LAW,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",120,22,6.76,0,10.17,3,0,18,195,0,473
4177,2014,7,MQ,Envoy Air,PIT,"Pittsburgh, PA: Pittsburgh International",142,41,7.06,0.81,10.84,1,2,35,723,21,490
4178,2014,7,MQ,Envoy Air,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",60,18,6.92,0,5.26,1,0,0,337,0,298
4179,2014,7,MQ,Envoy Air,HOU,"Houston, TX: William P Hobby",118,27,7.97,0,11.09,5,0,128,345,0,690
4180,2014,7,MQ,Envoy Air,LBB,"Lubbock, TX: Lubbock Preston Smith International",92,24,8.31,0,6.95,1,1,0,303,0,286
4181,2014,7,MQ,Envoy Air,SLC,"Salt Lake City, UT: Salt Lake City International",62,11,6.51,0,0.54,5,0,0,83,0,14
4182,2014,7,MQ,Envoy Air,MSP,"Minneapolis, MN: Minneapolis-St Paul International",27,16,5.66,0,6.11,1,0,0,104,0,361
4183,2014,7,MQ,Envoy Air,GGG,"Longview, TX: East Texas Regional",61,11,3.67,0,4.64,5,0,0,57,0,173
4184,2014,7,MQ,Envoy Air,CWA,"Mosinee, WI: Central Wisconsin",58,15,4.3,0,5.37,0,0,0,129,0,246
4185,2014,7,MQ,Envoy Air,FSD,"Sioux Falls, SD: Joe Foss Field",146,44,15.78,0.84,11.4,2,0,80,433,21,521
4186,2014,7,MQ,Envoy Air,BUF,"Buffalo, NY: Buffalo Niagara International",57,10,6.59,0,2.55,1,0,0,27,0,79
4187,2014,7,MQ,Envoy Air,BPT,"Beaumont/Port Arthur, TX: Jack Brooks Regional",1,0,0,0,0,0,0,0,0,0,0
4188,2014,7,MQ,Envoy Air,MKE,"Milwaukee, WI: General Mitchell International",93,6,1.89,0,2.27,3,0,0,80,0,203
4189,2014,7,MQ,Envoy Air,SUX,"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field",58,16,6.64,0,5.84,0,1,0,144,0,285
4190,2014,7,MQ,Envoy Air,CHA,"Chattanooga, TN: Lovell Field",90,15,3.7,1,3.73,2,1,26,392,17,169
4191,2014,7,MQ,Envoy Air,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",89,15,8.33,0,4.86,4,0,0,53,0,190
4192,2014,7,MQ,Envoy Air,SPS,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",119,17,6.57,0.27,5.75,6,0,27,95,13,177
4193,2014,7,MQ,Envoy Air,GSP,"Greer, SC: Greenville-Spartanburg International",91,21,8.64,0,7.44,3,0,57,124,0,450
4194,2014,7,MQ,Envoy Air,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",386,94,10.61,0.81,24.86,38,0,146,2050,13,1546
