,flight_year,flight_month,carrier,carrier_name,locationID,airport_name,arr_flights,arr_del15,carrier_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,weather_delay,nas_delay,security_delay,late_aircraft_delay
543,2014,4,HA,Hawaiian Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",73.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
545,2014,4,HA,Hawaiian Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",60.0,4.0,2.62,0.0,1.38,0.0,0.0,0.0,0.0,0.0,130.0
549,2014,4,HA,Hawaiian Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",30.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
551,2014,4,HA,Hawaiian Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",23.0,6.0,5.38,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0
555,2014,4,HA,Hawaiian Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",30.0,3.0,2.65,0.35,0.0,0.0,0.0,0.0,0.0,7.0,0.0
558,2014,4,MQ,Envoy Air,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",6568.0,1212.0,190.55,1.01,490.31,162.0,35.0,7851.0,19142.0,33.0,27822.0
561,2014,4,MQ,Envoy Air,ORD,"Chicago, IL: Chicago O'Hare International",5873.0,1633.0,185.92,4.08,578.92,241.0,14.0,5744.0,39683.0,159.0,35635.0
575,2014,4,MQ,Envoy Air,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",232.0,36.0,15.81,0.0,5.85,7.0,2.0,426.0,343.0,0.0,326.0
576,2014,4,MQ,Envoy Air,CLT,"Charlotte, NC: Charlotte Douglas International",292.0,50.0,14.98,0.0,21.23,4.0,0.0,120.0,405.0,0.0,977.0
593,2014,4,MQ,Envoy Air,LAX,"Los Angeles, CA: Los Angeles International",480.0,106.0,24.49,0.0,45.19,17.0,1.0,20.0,1335.0,0.0,2940.0
598,2014,4,MQ,Envoy Air,JFK,"New York, NY: John F. Kennedy International",630.0,127.0,18.65,0.0,48.02,31.0,1.0,84.0,2815.0,0.0,2891.0
613,2014,4,MQ,Envoy Air,DEN,"Denver, CO: Denver International",136.0,37.0,7.99,0.0,21.15,5.0,0.0,11.0,282.0,0.0,1170.0
659,2014,4,MQ,Envoy Air,IAH,"Houston, TX: George Bush Intercontinental/Houston",201.0,38.0,11.94,0.0,13.94,9.0,0.0,266.0,454.0,0.0,779.0
670,2014,4,MQ,Envoy Air,MIA,"Miami, FL: Miami International",1628.0,254.0,56.69,0.1,114.24,31.0,5.0,578.0,2254.0,2.0,5825.0
684,2014,4,MQ,Envoy Air,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",196.0,48.0,14.55,0.0,8.19,4.0,0.0,21.0,774.0,0.0,291.0
686,2014,4,MQ,Envoy Air,EWR,"Newark, NJ: Newark Liberty International",48.0,13.0,4.85,0.0,3.33,6.0,0.0,71.0,246.0,0.0,114.0
688,2014,4,OO,SkyWest Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",5143.0,937.0,123.13,1.71,480.0,78.0,11.0,1283.0,10279.0,31.0,24794.0
696,2014,4,OO,SkyWest Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1857.0,206.0,57.64,0.0,94.24,27.0,1.0,26.0,1432.0,0.0,5508.0
704,2014,4,OO,SkyWest Airlines Inc.,DEN,"Denver, CO: Denver International",3693.0,582.0,109.27,0.0,318.64,70.0,4.0,659.0,5308.0,0.0,19922.0
707,2014,4,OO,SkyWest Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",2999.0,834.0,76.37,1.52,405.31,111.0,4.0,734.0,17816.0,40.0,26314.0
711,2014,4,OO,SkyWest Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",735.0,95.0,28.69,0.0,42.42,2.0,1.0,156.0,521.0,0.0,2294.0
712,2014,4,OO,SkyWest Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",1241.0,241.0,47.7,0.0,112.95,16.0,3.0,264.0,2731.0,0.0,6663.0
722,2014,4,OO,SkyWest Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",264.0,66.0,24.49,0.0,24.39,2.0,1.0,211.0,559.0,0.0,1480.0
726,2014,4,OO,SkyWest Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",710.0,135.0,56.46,0.0,60.41,11.0,0.0,0.0,684.0,0.0,2735.0
732,2014,4,OO,SkyWest Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
746,2014,4,OO,SkyWest Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",339.0,87.0,25.69,0.56,27.5,3.0,2.0,229.0,1283.0,19.0,1659.0
748,2014,4,OO,SkyWest Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",3776.0,875.0,99.3,1.0,404.56,122.0,2.0,271.0,22234.0,20.0,27212.0
838,2014,4,UA,United Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",4343.0,771.0,212.8,0.0,173.0,28.0,2.0,633.0,16365.0,0.0,13351.0
